2025-12-16 16:36:02,434 | INFO | __main__ | Starting full pipeline execution
2025-12-16 16:36:02,450 | INFO | modules.ingestion.yahoo_fetcher | Fetching Yahoo Finance data for AAPL for period 5y
2025-12-16 16:36:05,732 | INFO | modules.preprocessing.data_cleaner | Starting data cleaning process
2025-12-16 16:36:05,743 | INFO | modules.preprocessing.data_cleaner | Data cleaning completed
2025-12-16 16:36:05,744 | INFO | modules.preprocessing.missing_value_handler | Handling missing values
2025-12-16 16:36:05,753 | INFO | modules.preprocessing.missing_value_handler | Missing value handling completed
2025-12-16 16:36:05,753 | INFO | modules.feature_engineering.technical_indicators | Adding technical indicators
2025-12-16 16:36:05,775 | INFO | modules.feature_engineering.technical_indicators | Technical indicators added successfully
2025-12-16 16:36:05,775 | INFO | modules.feature_engineering.trend_features | Adding trend features
2025-12-16 16:39:34,152 | INFO | __main__ | Starting full pipeline execution
2025-12-16 16:39:34,152 | INFO | modules.ingestion.yahoo_fetcher | Fetching Yahoo Finance data for AAPL for period 5y
2025-12-16 16:39:35,679 | INFO | modules.preprocessing.data_cleaner | Starting data cleaning process
2025-12-16 16:39:35,687 | INFO | modules.preprocessing.data_cleaner | Data cleaning completed
2025-12-16 16:39:35,691 | INFO | modules.preprocessing.missing_value_handler | Handling missing values
2025-12-16 16:39:35,691 | INFO | modules.preprocessing.missing_value_handler | Missing value handling completed
2025-12-16 16:39:35,691 | INFO | modules.feature_engineering.technical_indicators | Adding technical indicators
2025-12-16 16:39:35,704 | INFO | modules.feature_engineering.technical_indicators | Technical indicators added successfully
2025-12-16 16:39:35,704 | INFO | modules.feature_engineering.trend_features | Adding trend features
2025-12-16 16:39:35,707 | INFO | modules.feature_engineering.trend_features | Trend features added successfully
2025-12-16 16:39:35,707 | INFO | modules.feature_engineering.volatility_features | Adding volatility features
2025-12-16 16:39:35,707 | INFO | modules.feature_engineering.volatility_features | Volatility features added successfully
2025-12-16 16:39:35,712 | INFO | modules.feature_engineering.lag_features | Adding lag features for close
2025-12-16 16:39:35,712 | INFO | modules.feature_engineering.lag_features | Lag features added successfully
2025-12-16 16:39:35,765 | INFO | modules.utils.helpers | DataFrame saved to data/processed/feature_engineered.csv
2025-12-16 16:39:35,765 | INFO | modules.preprocessing.normalizer | Starting data normalization
2025-12-16 16:39:35,782 | INFO | modules.preprocessing.normalizer | Scaler saved at models_saved/scaler.pkl
2025-12-16 16:39:35,782 | INFO | modules.preprocessing.normalizer | Data normalization completed
2025-12-16 16:39:35,782 | INFO | modules.training.trainer | Starting regression model training
2025-12-16 16:39:35,782 | INFO | modules.models.regression.random_forest | Training Random Forest Regressor
